lang,hl,geo,gl,name,request
fr,fr,FR,FR,France,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
fr,fr,BE,BE,Belgique,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
fr,fr,CA,CA,Canada,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
fr,fr,MA,MA,Maroc,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
fr,fr,SN,SN,Sénégal,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
fr,fr,CH,CH,Suisse,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
fr,fr,MG,FR,Madagascar,search?q='Madagascar'%2BCoronavirus&as_qdr=d&scoring=n
en,en,AU,AU,Australia,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,US,US,United States,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,CA,CA,Canada,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,BW,BW,Botswana,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,ET,ET,Ethiopa,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,GH,GH,Ghana,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,ID,ID,India,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,PK,PK,Pakistan,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,GB,GB,United Kingdom,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,ZA,ZA,South Africa,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,NG,NG,Nigeria,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,PH,PH,Philippines,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,IE,IE,Ireland,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
en,en,ID,ID,Indonesia,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
es,es,CO,CO,Colombia,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
es,es,MX,MX,México,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
es,es,AR,AR,Argentina,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
es,es,CL,CL,Chile,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
hi,hi,ID,ID,भारत,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
pl,pl,PL,PL,Polska,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
sr,sr,RS,RS,Србија,topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNREZqY0hsNUVnSmxiaWdBUAE?
sr,sr,HR,RS,Hrvatska,search?q='Hrvatska'%2Bkorona%2Bvirus&as_qdr=d&scoring=n
sr,sr,BA,RS,Bosna,search?q='Bosna'%2Bkorona%2Bvirus&as_qdr=d&scoring=n
